Daily Observed Min/Max Temperature & Precipitation,,,,
,DallasFtWorth TX - KDFW,,,
18-Jan-20,37,61,49,0.01
19-Jan-20,32,54,43,-
20-Jan-20,34,57,45.5,-
21-Jan-20,32,53,42.5,0.02
22-Jan-20,39,45,42,0.46
23-Jan-20,44,58,51,0.04
24-Jan-20,38,59,48.5,-
25-Jan-20,38,65,51.5,-
26-Jan-20,47,63,55,-
27-Jan-20,39,65,52,-
28-Jan-20,40,62,51,0.51
29-Jan-20,38,45,41.5,0.04
30-Jan-20,39,45,42,-
31-Jan-20,42,56,49,-
1-Feb-20,33,66,49.5,-
2-Feb-20,42,81,61.5,-
3-Feb-20,54,73,63.5,0.14
4-Feb-20,38,65,51.5,0.08
5-Feb-20,32,39,35.5,0.09
6-Feb-20,28,46,37,-
7-Feb-20,30,60,45,-
8-Feb-20,37,65,51,-
9-Feb-20,55,67,61,0.04
10-Feb-20,39,55,47,0.3
11-Feb-20,40,43,41.5,0.34
12-Feb-20,40,48,44,1.66
13-Feb-20,32,44,38,-
14-Feb-20,25,50,37.5,-
15-Feb-20,38,64,51,-
16-Feb-20,47,78,62.5,-
17-Feb-20,58,78,68,-
18-Feb-20,46,61,53.5,0.27
19-Feb-20,41,49,45,0.75
20-Feb-20,37,54,45.5,0.18
21-Feb-20,30,49,39.5,-
22-Feb-20,40,57,48.5,-
23-Feb-20,46,60,53,0.03
24-Feb-20,47,66,56.5,-
25-Feb-20,41,61,51,-
26-Feb-20,36,50,43,-
27-Feb-20,28,62,45,-
28-Feb-20,39,67,53,-
29-Feb-20,44,75,59.5,-
1-Mar-20,57,75,66,-
2-Mar-20,55,71,63,-
3-Mar-20,53,68,60.5,-
4-Mar-20,50,59,54.5,0.88
5-Mar-20,44,72,58,-
6-Mar-20,40,67,53.5,-
7-Mar-20,45,63,54,-
8-Mar-20,47,70,58.5,-
9-Mar-20,59,76,67.5,0.06
10-Mar-20,48,80,64,-
11-Mar-20,64,88,76,-
12-Mar-20,65,85,75,0.01
13-Mar-20,58,74,66,2.07
14-Mar-20,52,71,61.5,0.12
15-Mar-20,49,57,53,0.4
16-Mar-20,51,70,60.5,0.59
17-Mar-20,59,68,63.5,0.11
18-Mar-20,63,79,71,1.33
19-Mar-20,63,83,73,0.43
20-Mar-20,42,67,54.5,0.08
21-Mar-20,40,58,49,0.17
22-Mar-20,52,60,56,0.1
23-Mar-20,59,68,63.5,-
24-Mar-20,62,85,73.5,-
25-Mar-20,57,88,72.5,-
26-Mar-20,66,86,76,-
27-Mar-20,68,84,76,-
28-Mar-20,55,77,66,0.06
29-Mar-20,50,70,60,-
30-Mar-20,53,65,59,0.34
31-Mar-20,52,68,60,-
1-Apr-20,48,72,60,-
2-Apr-20,58,69,63.5,0.12
3-Apr-20,40,66,53,0.09
4-Apr-20,40,48,44,0.15
5-Apr-20,47,65,56,-
6-Apr-20,59,71,65,-
7-Apr-20,65,88,76.5,-
8-Apr-20,71,97,84,-
9-Apr-20,61,79,70,-
10-Apr-20,54,73,63.5,-
11-Apr-20,57,70,63.5,0.07
12-Apr-20,46,82,64,0.49
13-Apr-20,39,56,47.5,-
14-Apr-20,42,55,48.5,-
15-Apr-20,38,65,51.5,-
16-Apr-20,46,74,60,-
17-Apr-20,47,65,56,-
18-Apr-20,41,69,55,-
19-Apr-20,59,84,71.5,0.1
20-Apr-20,52,76,64,-
21-Apr-20,59,85,72,-
22-Apr-20,65,90,77.5,0.01
23-Apr-20,59,84,71.5,-
24-Apr-20,63,91,77,-
25-Apr-20,56,79,67.5,-
26-Apr-20,52,84,68,-
27-Apr-20,63,85,74,-
28-Apr-20,65,89,77,0.78
29-Apr-20,62,80,71,0.07
30-Apr-20,51,82,66.5,-
1-May-20,62,89,75.5,-
2-May-20,66,89,77.5,-
3-May-20,69,91,80,-
4-May-20,71,92,81.5,-
5-May-20,60,79,69.5,0.17
6-May-20,56,84,70,-
7-May-20,57,85,71,0.21
8-May-20,57,73,65,0.03
9-May-20,51,74,62.5,-
10-May-20,54,78,66,-
11-May-20,57,80,68.5,-
12-May-20,65,79,72,0.05
13-May-20,66,84,75,-
14-May-20,65,90,77.5,-
15-May-20,64,87,75.5,0.66
16-May-20,63,66,64.5,3.05
17-May-20,65,84,74.5,0.9
18-May-20,62,90,76,-
19-May-20,71,94,82.5,-
20-May-20,71,79,75,-
21-May-20,69,87,78,0.01
22-May-20,71,93,82,-
23-May-20,65,89,77,0.62
24-May-20,66,90,78,0.18
25-May-20,65,70,67.5,1.65
26-May-20,63,73,68,0.01
27-May-20,58,86,72,-
28-May-20,64,86,75,-
29-May-20,65,88,76.5,-
30-May-20,65,87,76,-
31-May-20,67,88,77.5,-
1-Jun-20,69,87,78,-
2-Jun-20,71,90,80.5,-
3-Jun-20,74,92,83,-
4-Jun-20,74,95,84.5,-
5-Jun-20,77,95,86,-
6-Jun-20,76,98,87,-
7-Jun-20,77,94,85.5,-
8-Jun-20,78,97,87.5,-
9-Jun-20,72,97,84.5,-
10-Jun-20,65,89,77,-
11-Jun-20,62,92,77,-
12-Jun-20,67,92,79.5,-
13-Jun-20,70,93,81.5,-
14-Jun-20,69,92,80.5,-
15-Jun-20,71,94,82.5,-
16-Jun-20,74,93,83.5,-
17-Jun-20,72,93,82.5,-
